﻿X,Y,name
21.4382827,41.9754208,Томи
21.4387489,41.9754943,Фарина
21.4385402,41.9758834,Тобако Томи
21.4384115,41.9761625,Жито Маркет
21.4394414,41.9777179,Mini Market
21.4443097,41.9755235,Москва
21.4423887,41.9781016,Бурекџилница Фортуна
22.7614669,41.9709544,Луна гив пекара
22.7820353,41.9737984,Лунагив
21.4861998,41.9751785,Елиса
21.5174965,41.9389912,Promes
21.5138409,41.9404605,Baba Tala
22.7728089,41.9671446,Градски Пазар
22.7740767,41.9669504,Зуна
22.7743844,41.9668777,Ангела
22.7798536,41.9637609,Скопјанка маркет
22.7773809,41.9663099,Луна Гив
22.775414,41.9669199,Evropa
20.8711999,41.9428516,Liza market
21.0560365,42.052108,G8
22.3349195,42.201414,Furna Vardar
22.3349584,42.2040231,Карнем
22.3356935,42.2052678,Промес+
22.3364342,42.2058039,Плод
21.4487423,42.0512339,Ljubavi
21.4522939,42.0538936,Еци
21.4506986,42.061731,Жито Лукс
21.45066,42.0621038,Фурна
21.4507737,42.0621317,Чеган
21.443321,42.0169931,Три Трговца
22.2869626,42.1816391,Трајко
22.2865307,42.1818766,Бисер
22.2933297,42.1826982,Бисер
22.2850113,42.189067,Дако
21.7386693,42.1158085,Stena Mag
21.7125711,42.1333768,Musli Market
21.7092984,42.1381664,Arma Market
21.7246883,42.1328075,Fresh
21.7247878,42.1326278,City Bakery
22.0046288,41.4327823,CodEx - computers
22.0132241,41.4341081,Mesarnica MEGA
22.0168577,41.4345745,Javor
21.3750902,42.0060976,Лепа и Русе
21.3719748,42.0071667,DIEM-GP
21.371862,42.0071939,Алберто
22.3332827,41.8820514,GALIJA :D
22.5146289,41.881051,Nasev
22.5150152,41.8821533,Mak Progres
22.1940258,41.7378072,Балкан Лукс
22.1928309,41.7391749,М-Десерт
22.8139526,41.3798835,Sulo Vanco Janky
22.8136456,41.3812351,Колид
22.1911819,41.7471788,Дени касапино
22.1948806,41.7463414,Ребус
21.2165395,41.5068524,Месарница Мармес Деликатес
21.2163587,41.5109889,Лука
22.0749444,41.2453926,КОДИНГ-ГОРСКА Дооел
21.4276102,41.9947556,Гранап
21.4283201,41.9948528,Coffee & Friends - Палома Бјанка
21.4285322,41.9948662,Evropa - Centar 1
21.4292661,41.9924211,Pekara Bageti
21.4309247,41.9936634,Gnezdo
21.4307088,41.9946969,Специјал (Рекорд)
21.4276677,41.996427,Коки
21.3923668,42.0424608,Ефтинија
21.4053391,42.0027574,Mena
21.4054411,42.0027484,Stokomak
21.4074367,42.0031701,ДИЕМ-ГП
21.4079208,42.0032403,Pezogo
21.3597368,42.0065536,Охридска Банка-Ѓорче Петров
21.3655868,42.0063093,Gigo
21.3659086,42.0077722,Kam Market
21.3644066,42.009279,Ribarnica
21.3703234,42.0047229,Building 31
21.3688239,42.0078582,Asura Market
21.3515617,42.0210652,Воденица
21.3532671,42.0240392,Грозд
21.3537042,42.0235026,Кала
21.3624474,42.018529,КОДИНГ-ГОРСКА Доол
22.1922843,41.7376531,Бране Касапино
22.1926047,41.7369559,Ванила
22.1931835,41.737098,Слаткара МАКО
22.1931048,41.7372358,Слаткара ЈА-ЈА
21.4010765,42.0020133,Cake & Bake
21.4006019,42.0029128,Фрути Фреш
21.3990578,42.0038529,Канела
21.4021041,42.0066913,Kozle
21.5546334,41.3440741,Шито Прилеп
21.55419,41.3448602,Слатка
21.5645781,41.3427965,Наташа
20.6725856,41.1764165,Бабуш
20.6761993,41.1783823,Ramstore
20.8163659,41.0265496,sklep spożywczy
20.8095515,41.1061074,Zito Leb
20.8084947,41.112055,Жито леб
