﻿X,Y,name
22.4105671,41.9173176,Cinema Cafe
22.4105189,41.9175052,Uni Pub Cafe
22.410527,41.917611,Pacadili Cafe
22.4104224,41.9176668,Капри
22.4107281,41.9176649,Delikates Cafe
22.4102588,41.918076,Balkanlux
22.4101783,41.9187207,Bakery Kamel
22.4126749,41.9153295,Пролет
22.5058453,41.886544,Pancir Cafe
22.50587,41.8865523,Панцир Кафе
22.5103667,41.8881131,Bife Mal Minhen
22.5114929,41.8903339,Bife Mal Minhen
22.1937687,41.7376171,Piaza Liberta
22.1942983,41.7382806,Square pub
22.1928555,41.7390109,Верона
22.1940792,41.7384717,Хамби
22.1943429,41.7385085,Café Bar Illusion
22.1952544,41.7372052,Кафе-Бар Симбол
22.1956835,41.7382123,Сајбер
22.1957213,41.7388923,Нова Кафе
22.1957776,41.7389133,Версај
22.1959414,41.738556,Кофи Лаб
22.1963608,41.7386743,Стојанче Кубаската
22.1958272,41.7389273,Кафе-Бар Марсеј
22.1958775,41.7389458,Кафе бар Карма
22.1969715,41.7386184,Зимбако
22.1966748,41.7388546,Кебапчилница Тасе
22.1907365,41.7368287,Ресторан Сан-Ремо
22.1921751,41.7368665,Даблин
22.1901494,41.7371339,Универзитетски Ресторант
22.1912175,41.7375045,Classic Restaurant
22.1921152,41.7371987,Пијано Бар
22.1931278,41.7370336,Наше Кино
22.1932005,41.7370604,Тафката
22.1933812,41.7371183,JA-JA
22.1934589,41.7371381,Bambi
22.1938869,41.73738,Vami Cafe 1
22.1892414,41.735564,Ашај Теќе чешма
20.8894257,41.2434073,Dedo Dimo
21.0863428,41.2986459,Рибник Бабино
22.2451062,41.6337365,Рибник
22.2151154,41.7110243,Струмина Чешма
22.1922397,41.7382087,Рома
22.1921774,41.7383603,У Сокако
20.6439111,41.0505076,Korca
20.8042407,41.0983462,Ambrosia
20.8049971,41.0999773,Kadmo Beach Club
20.8059198,41.1010587,Cuba Libre Beach Club
20.8066006,41.1080463,Pardise
20.8071883,41.1073742,Liquid
20.807528,41.1069789,Ristorante Stazione
20.8039749,41.1104511,Ла Бела
20.8052329,41.109536,Royal View
20.8056768,41.1090118,Irish Pub Dublin
20.8081755,41.1048119,Big Pi
20.8148703,41.1028959,Ресторан Биљанини Извори
20.8123651,41.1084477,Restoran Gros
20.8157042,41.1259308,Ресторан Панорама
20.847073,41.101833,Ponik
21.7686668,41.7098459,Дома
21.7870287,41.7138225,Kafe slatkarnica Turist
21.7753509,41.7170862,Снупи
21.7775232,41.7176332,Официрски
21.7777592,41.7176653,Снупи
21.7788314,41.7177173,Гостилница Сокаче
21.7828824,41.7176771,Ројал
21.7829849,41.717722,Капри Кафе
21.7842383,41.7153245,Сина Сала
21.7842139,41.7154688,Розе Сала
21.7833196,41.717557,Езе Бар
21.4591155,41.9191256,Ресторан Бела
21.5712443,41.9150979,Грин Вилиџ
21.9456465,41.8634014,Мечкоеска Куќа - Пуже
21.6320595,41.5475438,Рибник Ресторан Оморани
20.9685294,41.8333963,Алфа
20.9959598,41.8333192,Burimi
20.9743998,41.8377412,Боси
20.9772429,41.8411626,Burimiii
20.9734955,41.8453568,Restaurant Oaza
20.978648,41.8450656,Рина
20.9467534,41.9158317,саранда
20.5881905,41.2401095,Kurmičevica
20.5959852,41.2357204,Via Ignatia
20.5887025,41.2397324,Pectopahot
20.6798797,41.1742024,Metropolis
20.6801971,41.176543,Irish Pub The Harp
20.6762151,41.1769374,Т'ГА ЗА ЈУГ
20.6763146,41.1776197,Leone
20.676795,41.1778398,Bonaca
20.6790916,41.1783994,EMPIRE
20.6516188,41.2239348,Grand restaurant
21.552257,41.3431784,Стојче-Метропол
21.5498466,41.3456079,Pizza Bar Academy
21.5520655,41.3444724,Александрија
21.5521929,41.344918,Шар
21.5536992,41.3453183,Ди Каприо
21.5539309,41.3452345,Вирус
21.5543097,41.3453989,Пинк Пантер
21.553795,41.3460965,The Summer Gallery House Pub
21.5541527,41.3456817,Тејк Фајв
21.5543797,41.3460137,Парадизо
21.5546262,41.3459768,Каспер
21.5548409,41.346236,Alfa1
21.5551082,41.3462523,Порта
21.5541674,41.3466009,Леоне
21.55497,41.346541,Kaffeine
21.5567739,41.3448994,Spase
21.5554324,41.3459748,Magic Food
21.555721,41.3468894,Gostilnica AJ PO EDNA
21.556594,41.3463358,Лидер
21.3885778,42.0229571,AvAv Dog Park
21.4080594,41.993167,Два Елена
21.4099065,41.9953743,Носталгија
21.4122694,41.9979155,Топаз
21.4138028,41.9947703,нола Бар
21.4140669,41.9947432,Интермецо
21.4147832,41.9964357,Дринкерс Парадајз
21.4150033,41.997012,Конак
21.4127725,41.999411,Концепт37
21.4142706,42.0006556,Fatness house
21.4149006,42.0005187,Fitness house
21.415982,41.9985008,Боеми
21.415006,42.0038265,The Gallery
21.4146731,42.0042809,Cafe Bela
21.4151255,42.0039722,MonAmi
21.415173,42.0040547,Жапон Кафе Бар
21.4159604,42.0047028,Бугати
21.3862677,42.004606,Ch2pter
20.8912406,41.7797343,gelateria AIDA --Baska
20.8363637,41.7653321,Панорама
20.8375411,41.765046,Burimi Tre
20.8459093,41.7704206,Riben Restoran Bigor
20.8928941,41.5034917,Фурна
20.8839683,41.5106535,Рибен Ресторан Добреноец
20.8540545,41.6714481,Стража
20.8544996,41.6714632,Стража
21.3918782,41.9985413,Лап Лап
21.3899358,42.0007595,Вили - Лесковачка Скара
21.3871902,42.0039263,Палма
21.3878449,42.0038168,Domino's
21.3926682,42.0028498,Две капки
21.3909265,42.0041936,Trend Food Bar
21.3910004,42.0045421,Brooklyn Lounge Bar
21.3931934,42.0044372,Pizza Jakomo
21.3936186,42.0045887,Срна
21.393778,42.004566,Krem
21.3963477,42.0026669,Вегера
21.3813769,42.0057641,Pub
21.3909815,42.0049046,Chicken House
21.3910392,42.0048738,Juicy and Co
21.3912646,42.0048773,Burger King
21.3274583,41.9953819,River Side
21.3323916,42.003391,Ореов Лад
20.7967146,41.1118183,Kadmo bar
20.7969483,41.1118507,Dalga
20.7934666,41.1148473,Гладиатор
20.7980562,41.1121475,Pizza Aleksandrija
20.7982792,41.112178,Порта
20.7972577,41.1124024,Ресторан Антико
20.798032,41.1124235,Kaj Ksantani Restaurant
20.7981623,41.1122361,НЕМО Пица Александриа
20.799048,41.1129098,ВЛАДИ
20.7990978,41.1129743,Instinct
20.799142,41.1130197,Slavica Kafe
20.7992077,41.1130834,Galerija
20.7992346,41.1131208,Milenium
20.7995188,41.1131665,Dva Bisera
20.799568,41.1133047,Letnica Kitchen & Bar
20.801555,41.1119481,Ривиера
20.7998658,41.1127888,Гиро Летница
20.8011769,41.1123103,Белведере
20.8001299,41.1135504,Pink Panter
20.801058,41.1135786,Cafe Experience
20.8021988,41.1124655,Mojito
20.7997775,41.1137008,Burger Station
20.800047,41.11542,Pizzeria Americano
20.8006878,41.1150114,Irish Pub
20.8012066,41.1156043,Macedonska Sofra
20.8027449,41.1126013,Connect
20.8026136,41.1140172,Фopтунa
20.7985841,41.1169309,Exclusive Art Cuisine
20.7984934,41.116952,Çajtorja Luan
20.7986796,41.1168867,Brioni 2008
20.7990387,41.1180922,City Chicken
20.8002909,41.116341,Meydan
20.8011081,41.1166205,Dr. Falafel
22.1818453,41.9940411,Irish Pub Belfast
22.3576731,41.9952271,Осоговска Куќа
21.410023,42.0053622,Spizzicotto
21.4101783,42.0053452,Bon Appetit
21.4106644,42.0053295,Tesla Bar
21.4108497,42.0055031,Joy Café & Bakery
21.4145137,42.0051241,Сокаче
21.316191,41.9908973,Er & Bi
21.3236858,42.0597023,Старо Буре
21.2795514,42.0436939,БАМИЛА
21.3023049,42.1455695,Lindi
21.2984886,42.1501564,Oslo
21.3000961,42.1491782,Shell
21.2991401,42.154497,linee addittional
21.3027217,42.1451824,Bleta
21.34668,41.0130595,Vavilon
21.0116539,41.0893491,Таверна Џез
21.0137006,41.0891028,Сендвичара Преспа Мефо
21.0130069,41.0913864,Стар сокак
21.0067043,41.1085785,Етно Куќа
20.7161824,41.632758,Галичко Бачило
20.721296,41.6368854,Трифкова Колиба
20.7329999,41.641262,Старото Бачило
20.7362858,41.6510336,Glamour
20.756666,41.7014251,Кај Тетка Вики
20.7573957,41.7018616,Ресторан Мал Одмор
20.607177,41.6226607,House of Miyaks Ethno Restaurant
20.9508952,41.5115542,Atva
20.9587583,41.5092951,Cross Roads
20.9594822,41.5118075,Gallery
20.9600276,41.5129834,Romanse
20.9632802,41.5129446,Kvadrat
21.3963673,42.0413574,Аликас
20.6395201,41.0666472,Leza
20.6400567,41.0663381,Restorant Rrema
20.804929,41.0035617,Бане 2
20.8031982,41.0459402,Dva Bisera
20.8009009,41.0666434,Granit
20.8125826,41.0544299,Terasa Utarna
20.8016787,41.0678423,Prestol
20.8016318,41.076418,Македонска куќа
20.799108,41.0902867,БИЧ ЕНД ЛОУНЏ ЏОВАНИ
20.8411339,41.0763387,Горни Студенец
21.4330638,41.9855468,Go Get Burger
21.4313196,41.98705,four seasons
21.4368796,41.9869006,иВ
21.4365756,41.9871974,Makedonska sofra
21.4223088,41.9916485,Gostilnica Gurman
21.4231542,41.9917018,Dal Fufo - Galija
21.4230113,41.9948604,AMG
21.4232268,41.9948867,Benneton
21.4230134,41.9958526,New Age
21.4245254,41.9947645,Pastel Wine & Dine
