X,Y,name
21.6178398,41.9371567,????
21.5984638,41.9644066,Debi
21.5073363,41.9382051,???? ?????
21.5071218,41.9384126,???
21.5103158,41.9392257,?????? 5
21.5291548,41.9310608,?????? 1
21.513671,41.9394701,Tinex Discount
21.5138463,41.9396863,Kam
21.5230194,41.9370886,?????? 2
21.4199718,41.9929149,??????
21.4207815,41.9948735,???? 5
21.4175012,42.0007316,???
21.4220152,41.9990831,Tinex
21.4233757,41.9983625,Kapael Tobacco
21.4010157,41.9938597,??? ?????? ?????
21.4085105,41.9972875,??????
21.3762625,42.0022775,Tinex
21.3340183,42.0078991,Kipper
21.3831193,42.0050579,???? ?????? ?????
21.3832243,42.0050437,PAMS Shoe Store 2
21.3818169,42.0067318,Tinex
21.3842555,42.0079128,??????
21.3922837,42.0048803,Ramstore
21.393054,42.0065872,Vero
20.9583245,41.9991961,???? - ?????
20.9589237,41.9990785,JYSK
20.9715177,41.9979362,Tendjerinja tetovo
20.9786298,41.993755,??????????
20.9710281,42.0084835,Tinex tetovo
20.9790915,42.0050636,????? ??????
20.979931,42.0054756,??? ??????
20.9741832,42.0093957,??????? 2 ??????
20.9903256,42.0054564,Ramstore
20.9778769,42.0168566,ZEC Electronics Tetovo
22.7727191,41.96422,???? ??????
22.7721168,41.9648869,????? ??????
22.7713264,41.9654181,???-?? ???????????
22.775244,41.9670758,???-?? ???????????
22.8019192,41.9663717,Mederevec (Mini Market)
22.804392,41.967327,?????? ????
22.7799853,41.9680062,????? ????
22.9190506,41.3740068,Supero
22.6294437,41.4384422,Kit-go market
22.635881,41.4335847,Djuli 2
22.6426896,41.4364848,Zdavec strumica
22.6390034,41.4389708,Global Trade Center
22.6414839,41.4382823,Tinex
22.6419646,41.43816,Horizont
22.6442899,41.4317489,Markator magacin
22.647951,41.4302406,Kis 2
22.6446147,41.4331994,????? ??????
22.6519392,41.4324702,Zdravec
22.6444715,41.4385011,Kisi market 1
22.6595336,41.4401622,Koda Magacin
22.6335517,41.4422023,Kis 4
22.6408136,41.445272,Zendolino 8 strumica
22.6485615,41.4409897,Technomarket
22.6513455,41.4415567,My Market
22.6513453,41.441659,Kisi 5 market
22.6528305,41.4463225,Roko 2000
22.8153569,41.3812029,Dana
20.7956761,41.1204424,Super market
22.1994144,41.7373008,??? ??????
22.1997569,41.7386458,??? ???????????
22.2004899,41.7385684,??? ?? ???????????
22.1902158,41.7379576,??????????
22.1921338,41.7393286,??? ??????
22.1910694,41.7463008,????? ?????? 27
22.1864366,41.7472866,?????? ???????
22.1799554,41.751114,KIT-GO ???????
22.1752605,41.7567982,Set Union ??????? ????? ??????
22.1761927,41.7569135,??? ?????? ???????
20.8114425,41.1093692,KAM Market
