?X,Y,name
21.5498466,41.3456079,Pizza Bar Academy
21.5520655,41.3444724,????????????
21.5521929,41.344918,???
21.5536992,41.3453183,?? ??????
21.5539309,41.3452345,?????
21.5543097,41.3453989,???? ??????
21.553795,41.3460965,The Summer Gallery House Pub
21.5541527,41.3456817,???? ????
21.5543797,41.3460137,????????
21.5546262,41.3459768,??????
21.5548409,41.346236,Alfa1
21.5551082,41.3462523,?????
21.5541674,41.3466009,?????
21.55497,41.346541,Kaffeine
21.5567739,41.3448994,Spase
21.5554324,41.3459748,Magic Food
21.555721,41.3468894,Gostilnica AJ PO EDNA
21.556594,41.3463358,?????
21.3885778,42.0229571,AvAv Dog Park
21.4080594,41.993167,??? ?????
21.4099065,41.9953743,??????????
21.4122694,41.9979155,?????
21.4138028,41.9947703,???? ???
21.4140669,41.9947432,?????????
21.4147832,41.9964357,???????? ????????
21.4150033,41.997012,?????
21.4127725,41.999411,???????37
21.4142706,42.0006556,Fatness house
21.4149006,42.0005187,Fitness house
21.415982,41.9985008,?????
21.415006,42.0038265,The Gallery
21.4146731,42.0042809,Cafe Bela
21.4151255,42.0039722,MonAmi
21.415173,42.0040547,????? ???? ???
21.4159604,42.0047028,??????
21.3862677,42.004606,Ch2pter
20.8912406,41.7797343,gelateria AIDA --Baska
20.8363637,41.7653321,????????
20.8375411,41.765046,Burimi Tre
20.8459093,41.7704206,Riben Restoran Bigor
20.8928941,41.5034917,?????
20.8839683,41.5106535,????? ???????? ?????????
20.8540545,41.6714481,??????
20.8544996,41.6714632,??????
21.3918782,41.9985413,??? ???
21.3899358,42.0007595,???? - ?????????? ?????
21.3871902,42.0039263,?????
21.3878449,42.0038168,Domino's
21.3926682,42.0028498,??? ?????
21.3909265,42.0041936,Trend Food Bar
21.3910004,42.0045421,Brooklyn Lounge Bar
21.3931934,42.0044372,Pizza Jakomo
21.3936186,42.0045887,????
21.393778,42.004566,Krem
21.3963477,42.0026669,??????
21.3813769,42.0057641,Pub
21.3909815,42.0049046,Chicken House
21.3910392,42.0048738,Juicy and Co
21.3912646,42.0048773,Burger King
21.3274583,41.9953819,River Side
21.3323916,42.003391,????? ???
20.7967146,41.1118183,Kadmo bar
20.7969483,41.1118507,Dalga
20.7934666,41.1148473,?????????
20.7980562,41.1121475,Pizza Aleksandrija
20.7982792,41.112178,?????
20.7972577,41.1124024,???????? ??????
20.798032,41.1124235,Kaj Ksantani Restaurant
20.7981623,41.1122361,???? ???? ???????????
20.799048,41.1129098,?????
20.7990978,41.1129743,Instinct
20.799142,41.1130197,Slavica Kafe
20.7992077,41.1130834,Galerija
20.7992346,41.1131208,Milenium
20.7995188,41.1131665,Dva Bisera
20.799568,41.1133047,Letnica Kitchen & Bar
20.801555,41.1119481,???????
20.7998658,41.1127888,???? ???????
20.8011769,41.1123103,?????????
20.8001299,41.1135504,Pink Panter
20.801058,41.1135786,Cafe Experience
20.8021988,41.1124655,Mojito
20.7997775,41.1137008,Burger Station
20.800047,41.11542,Pizzeria Americano
20.8006878,41.1150114,Irish Pub
20.8012066,41.1156043,Macedonska Sofra
20.8027449,41.1126013,Connect
20.8026136,41.1140172,?op???a
20.7985841,41.1169309,Exclusive Art Cuisine
20.7984934,41.116952,Çajtorja Luan
20.7986796,41.1168867,Brioni 2008
20.7990387,41.1180922,City Chicken
20.8002909,41.116341,Meydan
20.8011081,41.1166205,Dr. Falafel
22.1818453,41.9940411,Irish Pub Belfast
22.3576731,41.9952271,????????? ????
21.410023,42.0053622,Spizzicotto
21.4101783,42.0053452,Bon Appetit
21.4106644,42.0053295,Tesla Bar
21.4108497,42.0055031,Joy Café & Bakery
21.4145137,42.0051241,??????
21.316191,41.9908973,Er & Bi
21.3236858,42.0597023,????? ????
21.2795514,42.0436939,??????
21.3023049,42.1455695,Lindi
21.2984886,42.1501564,Oslo
21.3000961,42.1491782,Shell
21.2991401,42.154497,linee addittional
21.3027217,42.1451824,Bleta
21.34668,41.0130595,Vavilon
21.0116539,41.0893491,??????? ???
21.0137006,41.0891028,?????????? ?????? ????
21.0130069,41.0913864,???? ?????
21.0067043,41.1085785,???? ????
20.7161824,41.632758,??????? ??????
20.721296,41.6368854,???????? ??????
20.7329999,41.641262,??????? ??????
20.7362858,41.6510336,Glamour
20.756666,41.7014251,??? ????? ????
20.7573957,41.7018616,???????? ??? ?????
20.607177,41.6226607,House of Miyaks Ethno Restaurant
20.9508952,41.5115542,Atva
20.9587583,41.5092951,Cross Roads
20.9594822,41.5118075,Gallery
20.9600276,41.5129834,Romanse
20.9632802,41.5129446,Kvadrat
21.3963673,42.0413574,??????
20.6395201,41.0666472,Leza
20.6400567,41.0663381,Restorant Rrema
20.804929,41.0035617,???? 2
20.8031982,41.0459402,Dva Bisera
20.8009009,41.0666434,Granit
20.8125826,41.0544299,Terasa Utarna
20.8016787,41.0678423,Prestol
20.8016318,41.076418,?????????? ????
20.799108,41.0902867,??? ??? ????? ??????
20.8411339,41.0763387,????? ????????
21.4330638,41.9855468,Go Get Burger
21.4313196,41.98705,four seasons
21.4368796,41.9869006,??
21.4365756,41.9871974,Makedonska sofra
21.4223088,41.9916485,Gostilnica Gurman
21.4231542,41.9917018,Dal Fufo - Galija
21.4230113,41.9948604,AMG
21.4232268,41.9948867,Benneton
21.4230134,41.9958526,New Age
21.4245254,41.9947645,Pastel Wine & Dine
21.4238539,41.9952491,Burger Friends
21.424583,41.9965778,American best burger
21.4253358,41.9955693,?????
21.425567,41.9955107,Domino's Pizza
21.4239699,41.9981195,??? ?????
21.4236496,41.9990664,Gostilnica Estel
21.4253762,41.9986406,?????
21.4237032,42.0000584,???????
21.4252581,42.0001581,??????????
21.4268596,42.0003611,???? ???
21.4268797,42.0007066,Thirio
21.4239655,42.0028235,?????????
21.4240111,42.0028813,????? ?????
21.4240218,42.0030128,????????
21.4242333,42.003366,?????????
21.4280925,42.0039853,????
21.427293,42.0059792,Four
21.4264446,42.0068068,Bar Reka
21.4273688,42.0062927,???? ???
21.4260361,41.9907255,Coffee O'Clock
21.4276864,41.9913338,Star Ocean
21.4280088,41.9913688,?????? - ???????
21.4279999,41.9915759,Burger King
20.9059889,41.7926372,???? ???? 97
20.9049674,41.8009922,Dani
20.9080722,41.7932482,Loune Bar Fantastica
20.9090036,41.7928399,Familijar Restaurant
20.9079995,41.7939504,Liquid
20.9103122,41.7926594,Kaçamaku
20.9113126,41.7929887,?????????? ??? ???? 
20.9135714,41.798662,Happy M grill
20.8982089,41.8060047,?????????? ??? ?????
21.4237345,41.7918174,??????????? ??? ????????
20.8894169,41.7940939,gelateria JIMMY
20.8840093,41.8299622,Elfat
20.8857573,41.8413949,Nebi
20.8909686,41.8650269,Kafe Bar “Bonton”
21.4204907,41.9904847,Marana
21.4207515,41.9906511,MFC - Macedonian Fried Chicken
21.4192046,41.9927714,???
21.4199442,41.9959518,Restoran Frosina
22.3532041,42.0371055,????????? ?????
22.6328921,41.4352537,Loven Dom
22.6382644,41.4372542,BU Coffee to go
22.6389491,41.4389263,City Cafe
22.6389577,41.4389263,Gala Live
22.6390002,41.4390286,Inside Cafe
22.6378848,41.4395247,Cafe 19
22.6377556,41.4397043,PR Cafe
22.6379105,41.4395826,23
22.637799,41.4397692,Extreme Cafe
22.6383287,41.4403734,Conept Cafe
22.6390517,41.4390994,Inside Cafe
22.6481556,41.4327076,???? ?? ?????? - ?????
22.6452777,41.4378354,????
22.6490943,41.4385145,Bakers
22.6502444,41.4392415,Luna 2
22.6388602,41.4409617,Salomon fud
22.6433683,41.4433529,????????
22.819584,41.3811426,???????? ????? - Restaurant SONCE
22.705272,41.4404325,????????
22.6153456,41.5162501,?????????
22.6876979,41.1949131,??????????
22.7242971,41.180711,????
22.7219422,41.1842982,??? ???
22.9354984,41.7301724,??????
22.9422359,41.7297622,?????
22.587663,42.0179585,Osmica
22.5877841,42.0248909,Elita
22.5874645,42.0255684,Restaurant Idnina
22.5914449,42.0170338,"""Kaj Govedoto"" Restaurant"
22.5886582,42.0178835,Shizik Restaurant
22.5899229,42.0195336,"""Koko"" Restaurant"
22.5925757,42.0178073,Zlatina
22.5892057,42.0218468,Delirium
22.5890919,42.0225504,Bumbarche
22.5893701,42.0217484,????
22.5900047,42.021859,District Lounge Bar
22.590261,42.0228743,Jafer
22.5900747,42.0229302,Hawaii Lounge Bar
22.5889401,42.0244107,?????
20.8820185,42.0113442,?????
20.8866832,42.0138371,casa leone
20.9351278,42.0189508,Driada
22.90042,41.3709709,???????? ???????? ????????? ???????
22.8968221,41.3881711,???????? ?????
22.8383014,41.7381241,miss Stoun
22.85985,41.70396,??????? ?????? 2
22.8645,41.69802,????
22.85717,41.70471,???
22.8581787,41.7058839,??????
22.86112,41.70425,??????
22.8525277,41.7103402,???????
22.8869357,41.7619502,????? ?????
22.4988477,41.1373679,Restoran Sarisa
22.4963093,41.1622759,????? ?????
22.5047905,41.140319,??? ???? ?????????
22.5034378,41.1414088,?????
22.5011779,41.146047,???-3
22.504514,41.1651247,????? ????
21.4725098,41.9824716,Pizza Amica
21.4711307,41.9830723,Coffeelix
21.4755231,41.9811549,Royal Burger
21.4755669,41.9799593,???????? Be Happy
21.4762981,41.9815558,???????? ???????
21.4758817,41.9894222,???? ?????
21.4768613,41.9897212,???? ?????
21.4826074,41.9788465,???????? ???????
21.4808444,41.9837709,Segreto Plus
21.4868617,41.9834046,???????? ???? ??
21.4871492,41.9843967,????? ???????? ????? (???????)
21.3722969,42.0071574,Badu
21.3740403,42.0063483,Aleksandrija
21.3741187,42.0065185,62
21.8645555,42.1324603,Fratelis
21.8626404,42.1574387,???? ????
22.1926393,41.7427284,Angel's Caffe
22.6230389,41.8339517,Ribnik Blatec
22.1834072,41.735007,???????? ?????
22.1844523,41.7350696,????? “??.????“
22.44631,41.629596,Magmar
22.455839,41.632766,Diamond disco
22.456789,41.633895,Santa Maria pizza
22.464019,41.63414,Gone
22.46449,41.633496,Sopka
22.4648163,41.6341662,Coffe House Downtown
22.465724,41.634656,Vrteska
22.462943,41.636566,Karagjoz
22.461848,41.637946,Fast Food Melani
22.462999,41.636975,Virus
22.463272,41.637611,Makedonsko Sonce
22.465528,41.637782,Lipa
22.4698529,41.6337176,Restoran Shampion
22.460143,41.639155,Escape
22.461401,41.638261,Ti-Amo
22.461327,41.639065,Beverli hils
22.460188,41.639759,Target
22.461378,41.640184,Getsbi pizza
22.460412,41.640957,Jocker pizza
22.46164,41.638201,Grill Melani
22.462186,41.639133,Sona
22.462199,41.63925,Lastik
22.46306,41.638767,Maslac
22.004638,41.4347168,Moskva
22.0116142,41.4331716,Aleksandrija
22.0130335,41.4327641,Buki
22.0117213,41.4336468,Toskano
22.0116563,41.4341433,Marilyn
22.0116649,41.4348833,Energi's
22.0136796,41.4337258,Makedonska Kuka
22.0137691,41.4339698,Fast Food
22.0143629,41.4332378,Kaj Roka
22.0157848,41.4345938,Marilyn
22.0110601,41.437027,Roma
22.0110153,41.4372049,Total
22.0104295,41.4398268,Picaso
22.0113116,41.4358281,????
22.0131384,41.4352466,Blue Cafe
22.0333387,41.397022,Tropic
22.0167719,41.4343878,Light Cofee
22.0215553,41.4347276,Brioni
22.0228438,41.4334495,?????? ????
22.0187521,41.4389417,Moneta
22.0096102,41.4410295,Exclusive
22.0111128,41.4412564,Kico
22.0115107,41.4412063,Ramazzoti
22.0121336,41.4411582,Spandja
22.0135418,41.4407867,Riben restorant
22.3059103,42.1902652,?????
22.3089155,42.192289,??????
22.3345505,42.2018022,Promes Grill
22.3355446,42.2022003,Select Caffe
22.335623,42.2026632,????????
22.3355793,42.2027771,Restaurant Osogovec
22.3362079,42.2056104,Galerija
22.336137,42.205828,Royal Lounge Bar
22.3365517,42.2058845,Fashion cafe
22.3598489,42.19038,Vodenicata 3
22.0980414,42.1712493,???? ????
22.1639057,42.1826707,Park
21.5737139,41.9973758,Gyroland
21.5888229,41.9864102,Royal Food Zlate
21.6126147,41.9953625,????? ???????
21.5078989,41.9932328,?????????? ?????
21.5099084,41.9951884,???????? ?????????
21.5093746,41.9956244,Ketering Vkusno
21.5137772,42.027601,??? ???????
22.0953457,41.4895975,Rubiko
22.3171977,41.6245987,????? ????
21.6985476,42.1288686,Restaurant Arcus
21.7055087,42.1322787,eliba lounge bar
21.704157,42.1373364,Kumanovo
21.7041267,42.1375281,adra
21.6999903,42.1395687,Mocha Caffe
21.733628,42.1208566,Exclusive
21.7448727,42.1214792,Terazza
21.7181577,42.1317263,???-?????
21.7173139,42.1325071,Julia
21.7206493,42.1320465,Restoran Prado
21.7128683,42.1331153,Relax
21.712736,42.1333648,Donita
21.7131719,42.1333475,Ambrella
21.7162124,42.1329068,Art Cafe CARIGRAD
21.7173429,42.1338027,????????
21.7176862,42.1343433,city
21.718448,42.13429,?????
21.7183301,42.1345469,?? ?? ??????
21.7189408,42.1341627,?????
21.7189898,42.134282,Irish Pub
21.7187933,42.1343519,?????
21.7197998,42.1345864,Revolution
21.7174092,42.1366097,???????? ????
21.7187383,42.1361779,???? ????
21.7190616,42.136391,????
21.7192653,42.1366237,W2
21.7187986,42.1373298,?????
21.7204462,42.1365237,???? ????
21.7279322,42.132763,Rafaela
21.7282115,42.1333614,????????
21.7266326,42.1355332,Lollipop
21.7241653,42.1381918,??? ???? ??? ????
21.7318423,42.1235585,??????
22.3309502,42.2075328,???? ?????
22.3379183,42.207696,?????
22.3466279,42.2123127,??????????
22.3580161,42.2228585,Pashina vodenica
22.389952,42.2246851,??????
21.4474069,42.018055,Burek
21.4462164,42.0365961,EZO
21.4163482,41.9922398,511
21.416522,41.9922245,Balila
21.4150613,41.9946354,?????
21.4162239,41.9934306,9
21.4171739,41.9937283,????????
21.4160063,41.9969599,?????
21.4170693,41.997226,????? ??? ????
21.4021635,41.9959806,?????????? ????
21.4032227,41.9959185,?????
21.4020366,41.9979148,??? ????????
21.4086858,41.9972323,?????
21.4091295,41.997291,??
21.4078483,41.9997295,?????????
21.4168806,41.9984995,Belier
21.416703,42.0001541,???? ????
21.420417,41.998742,??????
21.4204573,41.9989335,?????
21.4191901,42.0005946,???????
21.4207447,41.9987097,???????? ????????
21.4217901,41.9990725,????????
21.4211669,42.0004422,# hash bar
21.4231465,41.9999867,Dogs bar
21.4173939,42.0008922,?????????? ????
21.417262,42.0009888,???? ?????
21.4175044,42.0007963,???? ???????
21.4175412,42.0011509,???? ???? ??????
21.4170443,42.003398,Royal Burger
21.4167758,42.0035281,DM Restaurant
21.420049,42.0007591,????? ?????
21.4200655,42.0009079,"?????? ""????? ?????"""
21.4205747,42.0013292,????? ?????
21.4206632,42.0010941,????? ?? ????
21.4210921,42.0013712,???????
21.4216953,42.0013652,Laika
21.4208615,42.0014888,??? ????
21.4214837,42.001453,?????
21.423008,42.0012294,fourplay
21.4216722,42.0021654,Kaldrma
21.4217791,42.0022762,Van Gogh
21.4218407,42.0023198,??????
21.4181784,42.0087916,??????? ????
